cancer_type	discovery	replication
LIHC	SRP137150	SRP068976
LIHC	SRP137150	SRP174991
LIHC	SRP137150	SRP099053
LIHC	SRP137150	SRP062885
LIHC	SRP137150	SRP050551
LIHC	SRP137150	SRP118972
LIHC	SRP137150	SRP161530
LIHC	SRP137150	SRP049592
LIHC	SRP137150	SRP102722
LIHC	SRP137150	SRP039694
LIHC	SRP137150	SRP076032
LIHC	SRP161530	TCGA-LIHC
LIHC	SRP161530	SRP068976
LIHC	SRP161530	SRP174991
LIHC	SRP161530	SRP099053
LIHC	SRP161530	SRP062885
LIHC	SRP161530	SRP050551
LIHC	SRP161530	SRP118972
LIHC	SRP161530	SRP137150
LIHC	SRP161530	SRP049592
LIHC	SRP161530	SRP102722
LIHC	SRP161530	SRP039694
LIHC	SRP161530	SRP076032
LIHC	SRP049592	TCGA-LIHC
LIHC	SRP049592	SRP068976
LIHC	SRP049592	SRP174991
LIHC	SRP049592	SRP099053
LIHC	SRP049592	SRP062885
LIHC	SRP049592	SRP050551
LIHC	SRP049592	SRP118972
LIHC	SRP049592	SRP137150
LIHC	SRP049592	SRP161530
LIHC	SRP049592	SRP102722
LIHC	SRP049592	SRP039694
LIHC	SRP049592	SRP076032
LIHC	SRP102722	TCGA-LIHC
LIHC	SRP102722	SRP068976
LIHC	SRP102722	SRP174991
LIHC	SRP102722	SRP099053
LIHC	SRP102722	SRP062885
LIHC	SRP102722	SRP050551
LIHC	SRP102722	SRP118972
LIHC	SRP102722	SRP137150
LIHC	SRP102722	SRP161530
LIHC	SRP102722	SRP049592
LIHC	SRP102722	SRP039694
LIHC	SRP102722	SRP076032
LIHC	SRP039694	TCGA-LIHC
LIHC	SRP039694	SRP068976
LIHC	SRP039694	SRP174991
LIHC	SRP039694	SRP099053
LIHC	SRP039694	SRP062885
LIHC	SRP039694	SRP050551
LIHC	SRP039694	SRP118972
LIHC	SRP039694	SRP137150
LIHC	SRP039694	SRP161530
LIHC	SRP039694	SRP049592
LIHC	SRP039694	SRP102722
LIHC	SRP039694	SRP076032
LIHC	SRP076032	TCGA-LIHC
LIHC	SRP076032	SRP068976
LIHC	SRP076032	SRP174991
LIHC	SRP076032	SRP099053
LIHC	SRP076032	SRP062885
LIHC	SRP076032	SRP050551
LIHC	SRP076032	SRP118972
LIHC	SRP076032	SRP137150
LIHC	SRP076032	SRP161530
LIHC	SRP076032	SRP049592
LIHC	SRP076032	SRP102722
LIHC	SRP076032	SRP039694
LUNG	SRP074349	SRP125001
LUNG	SRP125001	SRP074349
LUSC	TCGA-LUSC	SRP079676
LUSC	SRP079676	TCGA-LUSC
PRAD	TCGA-PRAD	SRP119917
PRAD	TCGA-PRAD	SRP118614
PRAD	TCGA-PRAD	SRP212704
PRAD	TCGA-PRAD	SRP114904
PRAD	TCGA-PRAD	SRP027258
PRAD	TCGA-PRAD	SRP002628
PRAD	TCGA-PRAD	SRP148500
PRAD	SRP119917	TCGA-PRAD
PRAD	SRP119917	SRP118614
PRAD	SRP119917	SRP212704
PRAD	SRP119917	SRP114904
PRAD	SRP119917	SRP027258
PRAD	SRP119917	SRP002628
PRAD	SRP119917	SRP148500
PRAD	SRP118614	TCGA-PRAD
PRAD	SRP118614	SRP119917
PRAD	SRP118614	SRP212704
PRAD	SRP118614	SRP114904
PRAD	SRP118614	SRP027258
PRAD	SRP118614	SRP002628
PRAD	SRP118614	SRP148500
PRAD	SRP212704	TCGA-PRAD
PRAD	SRP212704	SRP119917
PRAD	SRP212704	SRP118614
PRAD	SRP212704	SRP114904
PRAD	SRP212704	SRP027258
PRAD	SRP212704	SRP002628
PRAD	SRP212704	SRP148500
PRAD	SRP114904	TCGA-PRAD
PRAD	SRP114904	SRP119917
PRAD	SRP114904	SRP118614
PRAD	SRP114904	SRP212704
PRAD	SRP114904	SRP027258
PRAD	SRP114904	SRP002628
PRAD	SRP114904	SRP148500
PRAD	SRP027258	TCGA-PRAD
PRAD	SRP027258	SRP119917
PRAD	SRP027258	SRP118614
PRAD	SRP027258	SRP212704
PRAD	SRP027258	SRP114904
PRAD	SRP027258	SRP002628
PRAD	SRP027258	SRP148500
PRAD	SRP002628	TCGA-PRAD
PRAD	SRP002628	SRP119917
